utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,pack_v,pack_a,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-03T22:05:48.099123Z,0.0,13.7V,0,2247.5,78.949,150.12,262.2,31.01,105.8,00,,3.9976,3.9961,4.001,4.9,720FB317,757575747574747474747575757575757474747474747575,383.75,4.8,1.84,13.0,0,0,0,0,2200,-34.5,0.0,0.02548,C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C4C3C3C3C4C4C3C3C4C4C3
